005,3,8000,66,0.445589542388916,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,8000,59,0.46528053283691406,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,8000,62,0.48723864555358887,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
010,1,8000,56,0.479647159576416,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,2,8000,50,0.4791576862335205,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
010,3,8000,60,0.478344202041626,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,4,8000,51,0.4590578079223633,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,8000,52,0.5323736667633057,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,8000,58,0.5269019603729248,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,8000,53,0.5075335502624512,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,8000,50,0.5144946575164795,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,8000,58,0.5028457641601562,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,0,8000,64,0.5307965278625488,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
020,1,8000,72,0.5424153804779053,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
020,2,8000,56,0.5552866458892822,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,3,8000,67,0.5548150539398193,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,8000,62,0.5459182262420654,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,0,8000,71,0.624239444732666,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
030,1,8000,70,0.6439096927642822,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
030,2,8000,53,0.6369717121124268,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,3,8000,76,0.63852858543396,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
030,4,8000,50,0.6176056861877441,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
060,0,8000,69,0.9325051307678223,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,1,8000,64,0.9279446601867676,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,2,8000,69,0.9411540031433105,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,3,8000,52,0.9379713535308838,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,4,8000,74,0.9414377212524414,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,0,8000,67,1.549098253250122,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
100,1,8000,73,1.546130657196045,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,2,8000,68,1.5393712520599365,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
