015,1,8000,65,1.1113238334655762,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,8000,64,1.072493553161621,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
015,3,8000,66,0.5147061347961426,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
015,4,8000,66,0.49864768981933594,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
020,0,8000,65,0.773679256439209,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,8000,68,1.178945541381836,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
020,2,8000,70,1.1481318473815918,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,8000,72,1.1474480628967285,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,4,8000,67,0.5525636672973633,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
030,0,8000,68,0.6388227939605713,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,1,8000,69,1.320920467376709,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
030,2,8000,70,0.6436381340026855,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,3,8000,72,0.6417789459228516,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,4,8000,67,0.620690107345581,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,0,8000,72,0.9441447257995605,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,1,8000,72,0.9611868858337402,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,2,8000,70,0.9631593227386475,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,3,8000,72,0.9616296291351318,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,4,8000,72,0.9989449977874756,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,0,8000,72,1.5471389293670654,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
