30,4,0,65,0.754840136,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
60,0,0,71,1.094961882,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
60,1,0,72,1.100621462,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
60,2,0,72,1.103888273,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
60,3,0,74,1.117344618,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
60,4,0,72,1.104583025,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,0,0,74,1.875114202,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,1,0,74,1.908699989,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,2,0,68,1.939115763,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
100,3,0,74,1.899404764,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,4,0,74,1.587633133,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
5,0,0,65,0.960369825,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
5,1,0,57,0.71663332,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
5,2,0,52,0.827650785,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
5,3,0,64,0.735122204,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
5,4,0,65,0.70599246,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
10,0,0,67,0.808062077,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
10,1,0,56,0.858787298,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
10,2,0,64,0.740315676,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
10,3,0,67,0.840630531,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
10,4,0,64,0.779019594,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
15,0,0,46,0.913700581,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
15,1,0,59,0.929606438,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
15,2,0,60,0.879502058,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
15,3,0,56,0.834180832,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
15,4,0,69,0.890171766,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
20,0,0,67,0.900203705,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
20,1,0,58,0.907145739,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
20,2,0,64,0.644582987,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
20,3,0,72,0.827757835,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
20,4,0,65,0.922332048,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
30,0,0,70,0.544147968,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
30,1,0,66,0.363430262,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
30,2,0,50,0.528760433,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
30,3,0,69,0.362333536,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
30,4,0,65,0.629308701,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
60,0,0,66,1.094423771,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
60,1,0,72,1.102017879,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
60,2,0,70,0.693645954,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
60,3,0,71,0.54159379,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
60,4,0,67,0.70168376,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
100,0,0,74,1.871119499,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,1,0,74,1.876258135,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,2,0,74,1.917046785,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,3,0,73,1.924194098,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,4,0,69,1.909023046,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
5,0,0,52,0.811251879,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
5,1,0,57,0.771657944,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
5,2,0,52,0.651465178,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
5,3,0,68,0.720370054,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
5,4,0,62,0.630053043,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
10,0,0,66,0.730466366,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
10,1,0,66,0.734323263,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
10,2,0,65,0.806683064,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
10,3,0,50,0.940208912,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
10,4,0,64,0.621333122,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
15,0,0,52,0.637009144,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
15,1,0,60,0.82393074,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
15,2,0,64,0.920998812,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
15,3,0,56,0.748729229,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
15,4,0,70,0.837080956,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
20,0,0,64,0.789433002,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
20,1,0,70,0.870457172,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
20,2,0,64,0.837260962,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
20,3,0,53,0.691402674,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
20,4,0,68,0.840171576,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
30,0,0,58,0.928687811,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
30,1,0,66,0.961681604,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
30,2,0,70,0.939825535,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
30,3,0,74,0.992774248,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
30,4,0,65,0.874316692,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
60,0,0,73,1.258340597,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
60,1,0,72,1.417769432,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
60,2,0,68,1.238554478,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
60,3,0,68,1.415931702,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
60,4,0,73,1.128336906,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,0,0,74,1.88764286,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,1,0,74,1.948296309,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,2,0,74,1.931671143,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,3,0,74,1.910235882,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,4,0,74,0.920186996,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
5,0,0,66,0.583285093,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
5,1,0,66,0.686478853,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
5,2,0,52,0.665465355,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
5,3,0,57,0.700628519,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
5,4,0,61,0.758272409,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
10,0,0,57,0.829979897,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
10,1,0,53,0.742432594,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
10,2,0,64,0.646086693,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
10,3,0,53,0.490027189,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
10,4,0,63,0.276208401,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
15,0,0,66,0.301651478,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
15,1,0,68,0.313320398,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
15,2,0,63,0.384531498,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
15,3,0,62,0.305078506,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
15,4,0,58,0.918179989,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
