015,0,0,45,0.30236101150512695,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,61,0.30011987686157227,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,0,58,0.2985262870788574,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,55,0.3015401363372803,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,68,0.3024282455444336,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,0,0,61,0.32260990142822266,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,0,48,0.3216514587402344,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,66,0.3226137161254883,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
020,3,0,59,0.32388782501220703,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
020,4,0,48,0.3214855194091797,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
030,0,0,52,0.3582134246826172,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,1,0,50,0.36350488662719727,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
030,2,0,58,0.3605325222015381,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,3,0,63,0.3586459159851074,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,4,0,63,0.36292076110839844,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
060,0,0,65,0.5371167659759521,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
060,1,0,60,0.5402424335479736,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
060,2,0,58,0.5347471237182617,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,3,0,61,0.5394008159637451,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
060,4,0,50,0.5355920791625977,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
