100,1,8000,67,4.155788898468018,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
100,2,8000,63,4.61427640914917,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
100,3,8000,68,2.012578248977661,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,4,8000,62,2.9266550540924072,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
005,0,8000,66,0.9766182899475098,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,1,8000,65,2.0343334674835205,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,2,8000,64,0.8297767639160156,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,3,8000,66,1.077782154083252,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,4,8000,62,1.2702758312225342,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
010,0,8000,61,1.231091022491455,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,1,8000,66,0.8003859519958496,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,2,8000,64,0.7229886054992676,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
010,3,8000,53,0.5122616291046143,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,4,8000,61,1.9027290344238281,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,8000,63,0.901127815246582,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
015,1,8000,59,2.2241883277893066,{'C': 10, 'gamma': 1, 'kernel': 'rbf'}
015,2,8000,68,0.5123426914215088,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
015,3,8000,67,0.8033449649810791,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,4,8000,62,0.8075737953186035,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
020,0,8000,62,1.0053470134735107,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,8000,66,1.025092363357544,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,2,8000,66,0.9595627784729004,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
020,3,8000,64,1.3446776866912842,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
020,4,8000,64,0.9456055164337158,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
030,0,8000,67,1.369927167892456,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
030,1,8000,64,1.2274270057678223,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,2,8000,67,1.0741136074066162,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
030,3,8000,66,1.886162281036377,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,4,8000,67,1.0411028861999512,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
060,0,8000,61,2.431752920150757,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
060,1,8000,63,2.6763253211975098,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
060,2,8000,68,1.9591996669769287,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,3,8000,67,2.4211978912353516,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
